filename,split,boxes,audit_status
aug_0001_cup_v1_002_t002100.jpg,train,1,human_checked
aug_0002_cup_v1_003_t002767.jpg,train,1,human_checked
aug_0003_cup_v1_004_t004233.jpg,train,1,human_checked
aug_0004_cup_v1_006_t006233.jpg,train,1,human_checked
aug_0005_cup_v1_007_t006633.jpg,train,1,human_checked
aug_0006_cup_v1_008_t008500.jpg,train,1,human_checked
aug_0007_cup_v1_009_t009033.jpg,train,1,human_checked
aug_0008_cup_v1_010_t009833.jpg,train,1,human_checked
aug_0009_cup_v1_011_t011167.jpg,train,1,human_checked
aug_0010_cup_v1_012_t011833.jpg,train,1,human_checked
aug_0011_cup_v1_013_t012767.jpg,train,1,human_checked
aug_0012_cup_v1_014_t014367.jpg,train,1,human_checked
aug_0013_cup_v1_015_t015300.jpg,train,1,human_checked
aug_0014_cup_v1_016_t015700.jpg,train,1,human_checked
aug_0015_cup_v1_017_t016900.jpg,train,2,human_checked
aug_0016_cup_v1_020_t020100.jpg,train,2,human_checked
aug_0017_cup_v1_024_t024233.jpg,train,2,human_checked
aug_0018_cup_v1_025_t025300.jpg,train,2,human_checked
aug_0019_cup_v1_026_t026367.jpg,train,2,human_checked
aug_0020_cup_v1_028_t027433.jpg,train,2,human_checked
aug_0021_cup_v1_030_t030233.jpg,train,2,human_checked
aug_0022_cup_v1_031_t030767.jpg,train,2,human_checked
aug_0023_cup_v1_032_t032233.jpg,train,2,human_checked
aug_0024_cup_v2_001_t000767.jpg,train,1,human_checked
aug_0025_cup_v2_002_t002767.jpg,train,2,human_checked
aug_0026_cup_v2_003_t003700.jpg,train,2,human_checked
aug_0027_cup_v2_006_t007833.jpg,train,2,human_checked
aug_0028_cup_v2_007_t008767.jpg,train,2,human_checked
aug_0029_cup_v2_008_t010367.jpg,train,2,human_checked
aug_0030_cup_v2_009_t011433.jpg,train,2,human_checked
aug_0031_cup_v2_010_t011833.jpg,train,2,human_checked
aug_0032_cup_v2_012_t015033.jpg,train,2,human_checked
aug_0033_cup_v2_013_t015967.jpg,train,2,human_checked
aug_0034_cup_v2_015_t018233.jpg,train,2,human_checked
aug_0035_cup_v2_016_t020100.jpg,train,2,human_checked
aug_0036_cup_v2_018_t021700.jpg,train,2,human_checked
aug_0037_cup_v2_020_t024233.jpg,train,1,human_checked
aug_0038_cup_v2_021_t025567.jpg,train,1,human_checked
aug_0039_cup_v2_023_t027833.jpg,train,1,human_checked
aug_0040_cup_v2_027_t033033.jpg,train,1,human_checked
aug_0041_cup_v2_028_t034633.jpg,train,1,human_checked
aug_0042_cup_v2_029_t035700.jpg,train,2,human_checked
aug_0043_cup_v2_030_t037567.jpg,train,1,human_checked
aug_0044_cup_v2_031_t037967.jpg,train,1,human_checked
aug_0045_cup_v2_032_t039033.jpg,train,1,human_checked
aug_0046_cup_v3_003_t004100.jpg,train,2,human_checked
aug_0047_cup_v3_007_t009033.jpg,train,2,human_checked
aug_0048_cup_v3_009_t010633.jpg,train,2,human_checked
aug_0049_cup_v3_010_t011967.jpg,train,2,human_checked
aug_0050_cup_v3_011_t013300.jpg,train,2,human_checked
aug_0051_cup_v3_012_t015033.jpg,train,2,human_checked
aug_0052_cup_v3_013_t015567.jpg,train,2,human_checked
aug_0053_cup_v3_014_t016900.jpg,train,2,human_checked
aug_0054_cup_v3_015_t019167.jpg,train,2,human_checked
aug_0055_cup_v3_016_t020100.jpg,train,2,human_checked
aug_0056_cup_v3_018_t022100.jpg,train,2,human_checked
aug_0057_cup_v3_020_t025433.jpg,train,2,human_checked
aug_0058_cup_v3_022_t027833.jpg,train,2,human_checked
aug_0059_cup_v3_023_t028767.jpg,train,1,human_checked
aug_0060_cup_v3_024_t029300.jpg,train,1,human_checked
aug_0061_cup_v3_025_t030633.jpg,train,2,human_checked
aug_0062_cup_v3_026_t031967.jpg,train,3,human_checked
aug_0063_cup_v3_027_t033300.jpg,train,1,human_checked
aug_0064_cup_v3_028_t035433.jpg,train,2,human_checked
aug_0065_cup_v3_029_t036367.jpg,train,3,human_checked
aug_0066_cup_v3_030_t037700.jpg,train,1,human_checked
aug_0067_cup_v3_032_t039567.jpg,train,2,human_checked
aug_0068_cup_video01_0000.jpg,train,2,human_checked
aug_0069_cup_video01_0001.jpg,train,2,human_checked
aug_0070_cup_video01_0002.jpg,train,3,human_checked
aug_0071_cup_video01_0003.jpg,train,1,human_checked
aug_0072_cup_video01_0004.jpg,train,2,human_checked
aug_0073_cup_video01_0008.jpg,train,1,human_checked
aug_0074_cup_video01_0009.jpg,train,1,human_checked
aug_0075_cup_video01_0010.jpg,train,1,human_checked
aug_0076_cup_video01_0011.jpg,train,1,human_checked
aug_0077_cup_video01_0012.jpg,train,1,human_checked
aug_0078_cup_video01_0013.jpg,train,1,human_checked
aug_0079_cup_video01_0014.jpg,train,1,human_checked
aug_0080_cup_video01_0021.jpg,train,2,human_checked
aug_0081_cup_video01_0024.jpg,train,2,human_checked
aug_0082_cup_video01_0025.jpg,train,1,human_checked
aug_0083_cup_video01_0026.jpg,train,2,human_checked
aug_0084_cup_video01_0027.jpg,train,1,human_checked
aug_0085_cup_video01_0028.jpg,train,2,human_checked
aug_0086_cup_video01_0029.jpg,train,2,human_checked
aug_0087_cup_video01_0031.jpg,train,2,human_checked
aug_0088_cup_video01_0032.jpg,train,1,human_checked
aug_0089_cup_video01_0033.jpg,train,1,human_checked
aug_0090_cup_video01_0036.jpg,train,1,human_checked
aug_0091_cup_video01_0037.jpg,train,1,human_checked
aug_0092_cup_video01_0038.jpg,train,1,human_checked
aug_0093_cup_video01_0041.jpg,train,1,human_checked
aug_0094_cup_video01_0043.jpg,train,1,human_checked
aug_0095_cup_video01_0044.jpg,train,1,human_checked
aug_0096_cup_video01_0045.jpg,train,1,human_checked
aug_0097_cup_video01_0046.jpg,train,1,human_checked
aug_0098_cup_video01_0047.jpg,train,1,human_checked
aug_0099_cup_video01_0051.jpg,train,1,human_checked
aug_0100_cup_video01_0052.jpg,train,1,human_checked
aug_0101_cup_video01_0053.jpg,train,1,human_checked
aug_0102_cup_video01_0054.jpg,train,1,human_checked
aug_0103_cup_video01_0055.jpg,train,1,human_checked
aug_0104_cup_video01_0056.jpg,train,1,human_checked
aug_0105_cup_video01_0057.jpg,train,1,human_checked
aug_0106_cup_video01_0058.jpg,train,1,human_checked
aug_0107_cup_video01_0059.jpg,train,1,human_checked
aug_0108_cup_video01_0060.jpg,train,1,human_checked
aug_0109_cup_video01_0062.jpg,train,1,human_checked
aug_0110_cup_video01_0063.jpg,train,1,human_checked
aug_0111_cup_video01_0064.jpg,train,1,human_checked
aug_0112_cup_video01_0065.jpg,train,1,human_checked
aug_0113_cup_video01_0066.jpg,train,1,human_checked
aug_0114_cup_video01_0067.jpg,train,1,human_checked
aug_0115_cup_video01_0068.jpg,train,1,human_checked
aug_0116_cup_video01_0069.jpg,train,1,human_checked
aug_0117_cup_video01_0070.jpg,train,1,human_checked
aug_0118_cup_video01_0071.jpg,train,1,human_checked
aug_0119_cup_video01_0072.jpg,train,1,human_checked
aug_0120_cup_video01_0073.jpg,train,1,human_checked
aug_0121_cup_video01_0074.jpg,train,1,human_checked
aug_0122_cup_video01_0075.jpg,train,2,human_checked
aug_0123_cup_video01_0076.jpg,train,2,human_checked
aug_0124_cup_video01_0077.jpg,train,1,human_checked
aug_0125_cup_video01_0078.jpg,train,2,human_checked
aug_0126_cup_video01_0081.jpg,train,2,human_checked
aug_0127_cup_video01_0082.jpg,train,2,human_checked
aug_0128_cup_video01_0083.jpg,train,2,human_checked
aug_0129_cup_video01_0084.jpg,train,2,human_checked
aug_0130_cup_video01_0085.jpg,train,2,human_checked
aug_0131_cup_video01_0086.jpg,train,2,human_checked
aug_0132_cup_video01_0087.jpg,train,2,human_checked
aug_0133_cup_video01_0088.jpg,train,2,human_checked
aug_0134_cup_video01_0089.jpg,train,2,human_checked
