filename,reason
aug_0003_cup_v1_004_t004233.jpg,excluded
aug_0004_cup_v1_006_t006233.jpg,excluded
aug_0005_cup_v1_007_t006633.jpg,excluded
aug_0006_cup_v1_008_t008500.jpg,excluded
aug_0007_cup_v1_009_t009033.jpg,excluded
aug_0009_cup_v1_011_t011167.jpg,excluded
aug_0012_cup_v1_014_t014367.jpg,excluded
aug_0013_cup_v1_015_t015300.jpg,excluded
aug_0014_cup_v1_016_t015700.jpg,excluded
aug_0037_cup_v2_020_t024233.jpg,excluded
aug_0046_cup_v3_003_t004100.jpg,excluded
aug_0047_cup_v3_007_t009033.jpg,excluded
aug_0048_cup_v3_009_t010633.jpg,excluded
aug_0049_cup_v3_010_t011967.jpg,excluded
aug_0050_cup_v3_011_t013300.jpg,excluded
aug_0051_cup_v3_012_t015033.jpg,excluded
aug_0052_cup_v3_013_t015567.jpg,excluded
aug_0053_cup_v3_014_t016900.jpg,excluded
aug_0054_cup_v3_015_t019167.jpg,excluded
aug_0055_cup_v3_016_t020100.jpg,excluded
aug_0056_cup_v3_018_t022100.jpg,excluded
aug_0057_cup_v3_020_t025433.jpg,excluded
aug_0058_cup_v3_022_t027833.jpg,excluded
aug_0059_cup_v3_023_t028767.jpg,excluded
aug_0060_cup_v3_024_t029300.jpg,excluded
aug_0061_cup_v3_025_t030633.jpg,excluded
aug_0062_cup_v3_026_t031967.jpg,excluded
aug_0063_cup_v3_027_t033300.jpg,excluded
aug_0064_cup_v3_028_t035433.jpg,excluded
aug_0065_cup_v3_029_t036367.jpg,excluded
aug_0066_cup_v3_030_t037700.jpg,excluded
aug_0067_cup_v3_032_t039567.jpg,excluded
aug_0068_cup_video01_0000.jpg,excluded
aug_0069_cup_video01_0001.jpg,excluded
aug_0070_cup_video01_0002.jpg,excluded
aug_0071_cup_video01_0003.jpg,excluded
aug_0072_cup_video01_0004.jpg,excluded
aug_0073_cup_video01_0008.jpg,excluded
aug_0074_cup_video01_0009.jpg,excluded
aug_0075_cup_video01_0010.jpg,excluded
aug_0076_cup_video01_0011.jpg,excluded
aug_0077_cup_video01_0012.jpg,excluded
aug_0078_cup_video01_0013.jpg,excluded
aug_0079_cup_video01_0014.jpg,excluded
aug_0080_cup_video01_0021.jpg,excluded
aug_0081_cup_video01_0024.jpg,excluded
aug_0082_cup_video01_0025.jpg,excluded
aug_0083_cup_video01_0026.jpg,excluded
aug_0084_cup_video01_0027.jpg,excluded
aug_0085_cup_video01_0028.jpg,excluded
aug_0086_cup_video01_0029.jpg,excluded
aug_0087_cup_video01_0031.jpg,excluded
aug_0088_cup_video01_0032.jpg,excluded
aug_0089_cup_video01_0033.jpg,excluded
aug_0090_cup_video01_0036.jpg,excluded
aug_0091_cup_video01_0037.jpg,excluded
aug_0092_cup_video01_0038.jpg,excluded
aug_0093_cup_video01_0041.jpg,excluded
aug_0094_cup_video01_0043.jpg,excluded
aug_0095_cup_video01_0044.jpg,excluded
aug_0096_cup_video01_0045.jpg,excluded
aug_0097_cup_video01_0046.jpg,excluded
aug_0098_cup_video01_0047.jpg,excluded
aug_0099_cup_video01_0051.jpg,excluded
aug_0100_cup_video01_0052.jpg,excluded
aug_0101_cup_video01_0053.jpg,excluded
aug_0102_cup_video01_0054.jpg,excluded
aug_0103_cup_video01_0055.jpg,excluded
aug_0104_cup_video01_0056.jpg,excluded
aug_0105_cup_video01_0057.jpg,excluded
aug_0106_cup_video01_0058.jpg,excluded
aug_0107_cup_video01_0059.jpg,excluded
aug_0108_cup_video01_0060.jpg,excluded
aug_0109_cup_video01_0062.jpg,excluded
aug_0110_cup_video01_0063.jpg,excluded
aug_0111_cup_video01_0064.jpg,excluded
aug_0112_cup_video01_0065.jpg,excluded
aug_0113_cup_video01_0066.jpg,excluded
aug_0114_cup_video01_0067.jpg,excluded
aug_0115_cup_video01_0068.jpg,excluded
aug_0116_cup_video01_0069.jpg,excluded
aug_0117_cup_video01_0070.jpg,excluded
aug_0118_cup_video01_0071.jpg,excluded
aug_0119_cup_video01_0072.jpg,excluded
aug_0120_cup_video01_0073.jpg,excluded
aug_0121_cup_video01_0074.jpg,excluded
aug_0122_cup_video01_0075.jpg,excluded
aug_0123_cup_video01_0076.jpg,excluded
aug_0124_cup_video01_0077.jpg,excluded
aug_0125_cup_video01_0078.jpg,excluded
aug_0126_cup_video01_0081.jpg,excluded
aug_0127_cup_video01_0082.jpg,excluded
aug_0128_cup_video01_0083.jpg,excluded
aug_0129_cup_video01_0084.jpg,excluded
aug_0130_cup_video01_0085.jpg,excluded
aug_0131_cup_video01_0086.jpg,excluded
aug_0132_cup_video01_0087.jpg,excluded
aug_0133_cup_video01_0088.jpg,excluded
aug_0134_cup_video01_0089.jpg,excluded
aug_0135_cup_video01_0090.jpg,excluded
aug_0136_cup_video01_0091.jpg,excluded
aug_0137_cup_video01_0092.jpg,excluded
aug_0138_cup_video01_0093.jpg,excluded
aug_0139_cup_video01_0094.jpg,excluded
aug_0140_cup_video01_0095.jpg,excluded
aug_0141_cup_video01_0096.jpg,excluded
aug_0142_cup_video01_0097.jpg,excluded
aug_0143_cup_video01_0098.jpg,excluded
aug_0144_cup_video01_0100.jpg,excluded
aug_0145_cup_video01_0101.jpg,excluded
aug_0146_cup_video01_0102.jpg,excluded
aug_0147_cup_video01_0103.jpg,excluded
aug_0148_cup_video01_0104.jpg,excluded
aug_0149_cup_video01_0105.jpg,excluded
aug_0150_cup_video01_0106.jpg,excluded
aug_0151_cup_video01_0107.jpg,excluded
aug_0152_cup_video01_0108.jpg,excluded
aug_0153_cup_video01_0109.jpg,excluded
aug_0154_cup_video01_0111.jpg,excluded
aug_0155_cup_video01_0112.jpg,excluded
aug_0156_cup_video01_0113.jpg,excluded
aug_0157_cup_video01_0114.jpg,excluded
aug_0158_cup_video01_0115.jpg,excluded
aug_0159_cup_video01_0116.jpg,excluded
aug_0160_cup_video01_0117.jpg,excluded
aug_0161_cup_video01_0118.jpg,excluded
aug_0162_cup_video01_0119.jpg,excluded
aug_0171_mouse_v1_012_t013833.jpg,excluded
aug_0172_mouse_v1_014_t017167.jpg,excluded
aug_0173_mouse_v1_017_t020633.jpg,excluded
aug_0179_mouse_v1_024_t028367.jpg,excluded
aug_0181_mouse_v1_027_t031967.jpg,excluded
aug_0182_mouse_v1_028_t033433.jpg,excluded
aug_0183_mouse_v1_029_t034100.jpg,excluded
aug_0185_mouse_v1_032_t038367.jpg,excluded
