filename,source_video,timestamp_seconds,source_frame,sample_role,sha256,annotation_status,label_policy
camera_v12_mouse_01_f000201.jpg,v11_phone_negative_capture,10.050,201,mouse_positive,a5e0ca2d59b70381843fd246f7799442a91184022d1e00e027be578ca55c004e,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_02_f000363.jpg,v11_phone_negative_capture,18.150,363,mouse_positive,34e13a595d33a395074e877a5d393eaf2f2e70d6ca24ed5de5c41219804e2f20,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_03_f000444.jpg,v11_phone_negative_capture,22.200,444,mouse_positive,41c43fde5bfac5236e369847e7d7c6694efb04ffe6814cf5c280770441b0d3e5,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_04_f000565.jpg,v11_phone_negative_capture,28.250,565,mouse_positive,ec732e245e2bba846b6d57783495229a70b52d399f5cc4c4d9f1fe89676873fa,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_05_f001494.jpg,v11_phone_negative_capture,74.700,1494,mouse_positive,1a35977245a93576267e3fc5c9489f45d73311b189f87770060c68d6bd05d3fd,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_06_f001534.jpg,v11_phone_negative_capture,76.700,1534,mouse_positive,47634220dae213781fd6a2badc902ce8286ef7ed06ab0a5d2ca957045cfa874f,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_07_f001898.jpg,v11_phone_negative_capture,94.900,1898,mouse_positive,938cf43f6c3f9b2a816882d25712e8baaca93e55edd2460319fb38c02ff100d2,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_08_f001938.jpg,v11_phone_negative_capture,96.900,1938,mouse_positive,ed0335653ca78ccda347c29a64c317a2835d3f8244d3cf505dd302f69652ab7d,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_09_f002019.jpg,v11_phone_negative_capture,100.950,2019,mouse_positive,8a4141801509e499f2bba9a0480711864fbcbeb8e45f0c79c175c70786f397c5,review_required,review every visible mouse; do not label the phone
camera_v12_mouse_10_f002059.jpg,v11_phone_negative_capture,102.950,2059,mouse_positive,d2cf0cb0ae260edad2c0080330c591301d5419953dab94aa4b81f72a12b8c376,review_required,review every visible mouse; do not label the phone
camera_v12_phone_negative_01_f000646.jpg,v11_phone_negative_capture,32.300,646,phone_hard_negative,77ff6a828ca575ae9d5cca7a14612490134acbf459c60b7971432e592afbe8ef,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_02_f000767.jpg,v11_phone_negative_capture,38.350,767,phone_hard_negative,d2688d41be5c2d1b18fd10615ca3dc76f827e3370d03e0fa9c476ce3910ea123,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_03_f001009.jpg,v11_phone_negative_capture,50.450,1009,phone_hard_negative,a008a1507dffb823e38ca3d35b72263beb9bbc54175df9c6f8c808751724c746,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_04_f001050.jpg,v11_phone_negative_capture,52.500,1050,phone_hard_negative,e7db925a7c8f2fa54481b98ff560695c8d0cdb3ce570b18087ee667fef3e4373,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_05_f001171.jpg,v11_phone_negative_capture,58.550,1171,phone_hard_negative,181d460331c998a1a8d3ba9f9a480cecd4b28e98601024b185cb4bf48c31ed15,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_06_f001211.jpg,v11_phone_negative_capture,60.550,1211,phone_hard_negative,c96d3565592dc4aa4157685319cd6067a83d40528f6356b4b9d9ba8fc92b982d,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_07_f001332.jpg,v11_phone_negative_capture,66.600,1332,phone_hard_negative,7e61cef39baf4833205f718408d81d486e99ca19aa8e221058594eccc0cdfc1e,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_08_f001575.jpg,v11_phone_negative_capture,78.750,1575,phone_hard_negative,3b9b2df8917af897a8d4a77e7f4cf26446fba349e6b15a1ca3d724cebaf029d9,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_09_f001615.jpg,v11_phone_negative_capture,80.750,1615,phone_hard_negative,8116e107ed71e302cc4c31254b08dd995729a0774e61e0b2b645fc2113267ce5,review_required,keep empty only when no mouse or cup is visible
camera_v12_phone_negative_10_f001655.jpg,v11_phone_negative_capture,82.750,1655,phone_hard_negative,49c6f368eb2f19d10b9aa66f392ac775de70f19e72c045ca8cc0390c641523ad,review_required,keep empty only when no mouse or cup is visible
