epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2287,0.81347,0.78829,1.22311,0.84192,0.79618,0.87716,0.70559,0.74925,0.59974,1.26962,4.83871e-05,4.83871e-05,0.0677903
2,33.4646,0.79053,0.71234,1.20432,0.84718,0.79481,0.87529,0.70581,0.74245,0.59088,1.26705,9.5952e-05,9.5952e-05,0.0345046
3,39.5518,0.79979,0.71245,1.1937,0.83351,0.79712,0.87009,0.6999,0.75889,0.61062,1.28685,0.000141042,0.000141042,0.00121631
4,45.372,0.77452,0.69444,1.18293,0.83996,0.7878,0.86767,0.70868,0.74042,0.59738,1.27002,0.000138862,0.000138862,0.000138862
5,51.2645,0.75973,0.65734,1.15559,0.83695,0.79712,0.87435,0.7078,0.74664,0.57164,1.27569,0.00013515,0.00013515,0.00013515
6,57.0983,0.76667,0.61698,1.16618,0.85016,0.79513,0.87754,0.70575,0.73313,0.58371,1.27093,0.000131437,0.000131437,0.000131437
7,63.0637,0.8087,0.65552,1.21084,0.79109,0.84054,0.86934,0.70013,0.76668,0.61173,1.28982,0.000127725,0.000127725,0.000127725
8,68.5276,0.79605,0.64505,1.17021,0.84008,0.80414,0.87441,0.70573,0.78248,0.58382,1.30742,0.000124012,0.000124012,0.000124012
9,74.5879,0.74769,0.61498,1.15175,0.79939,0.83641,0.87867,0.71122,0.74927,0.58415,1.28813,0.0001203,0.0001203,0.0001203
10,80.8002,0.78126,0.63523,1.16707,0.79529,0.84587,0.87597,0.70647,0.75747,0.57973,1.29259,0.000116587,0.000116587,0.000116587
11,86.7543,0.78674,0.65172,1.1875,0.80946,0.82727,0.87639,0.70145,0.75422,0.57913,1.29372,0.000112875,0.000112875,0.000112875
12,92.6551,0.7649,0.61018,1.16013,0.81836,0.82862,0.86873,0.70474,0.77166,0.59214,1.30676,0.000109162,0.000109162,0.000109162
13,98.6449,0.77316,0.63395,1.18059,0.85335,0.78865,0.88208,0.70905,0.73934,0.57401,1.27985,0.00010545,0.00010545,0.00010545
14,104.548,0.76488,0.60992,1.14231,0.81194,0.8417,0.88648,0.71172,0.72829,0.56207,1.27461,0.000101737,0.000101737,0.000101737
15,110.537,0.76545,0.60506,1.16619,0.8318,0.78865,0.87723,0.711,0.74128,0.57245,1.27677,9.8025e-05,9.8025e-05,9.8025e-05
16,116.353,0.74747,0.60784,1.16182,0.86803,0.78865,0.88201,0.70534,0.74577,0.56941,1.27895,9.43125e-05,9.43125e-05,9.43125e-05
17,121.974,0.77203,0.59447,1.18197,0.86664,0.78865,0.88248,0.71431,0.73585,0.57219,1.26733,9.06e-05,9.06e-05,9.06e-05
18,127.762,0.76356,0.64051,1.15397,0.80478,0.8393,0.8794,0.7136,0.74073,0.58815,1.2754,8.68875e-05,8.68875e-05,8.68875e-05
19,133.386,0.7617,0.59098,1.15394,0.82656,0.78865,0.87544,0.70742,0.75961,0.59941,1.28647,8.3175e-05,8.3175e-05,8.3175e-05
20,138.831,0.75866,0.57952,1.16742,0.76971,0.86133,0.88799,0.70844,0.74365,0.58248,1.27202,7.94625e-05,7.94625e-05,7.94625e-05
21,144.045,0.77579,0.60101,1.16203,0.81134,0.78865,0.88068,0.70891,0.743,0.5893,1.2751,7.575e-05,7.575e-05,7.575e-05
22,149.294,0.7519,0.57652,1.14953,0.79463,0.84127,0.88693,0.71265,0.7245,0.57901,1.26543,7.20375e-05,7.20375e-05,7.20375e-05
23,154.629,0.72258,0.58354,1.1331,0.83676,0.78491,0.88402,0.71095,0.73543,0.58053,1.27376,6.8325e-05,6.8325e-05,6.8325e-05
24,160.069,0.74947,0.59011,1.14811,0.80293,0.8079,0.87919,0.70541,0.75508,0.59316,1.29373,6.46125e-05,6.46125e-05,6.46125e-05
25,165.358,0.73867,0.57562,1.13089,0.79179,0.82743,0.87912,0.70936,0.75524,0.59436,1.2905,6.09e-05,6.09e-05,6.09e-05
26,170.599,0.80796,0.63559,1.20507,0.7967,0.8359,0.88496,0.71202,0.73996,0.57388,1.27439,5.71875e-05,5.71875e-05,5.71875e-05
27,175.903,0.76039,0.59712,1.16772,0.8563,0.77645,0.88606,0.71528,0.73349,0.56429,1.26852,5.3475e-05,5.3475e-05,5.3475e-05
28,181.954,0.77928,0.60306,1.15977,0.82154,0.7912,0.87651,0.71,0.75236,0.58066,1.28256,4.97625e-05,4.97625e-05,4.97625e-05
29,187.863,0.76169,0.61002,1.17248,0.7845,0.84854,0.88111,0.70726,0.74889,0.58934,1.28381,4.605e-05,4.605e-05,4.605e-05
30,193.841,0.77049,0.5812,1.14794,0.8013,0.81027,0.87752,0.70516,0.75273,0.60375,1.28826,4.23375e-05,4.23375e-05,4.23375e-05
31,200.303,0.79086,0.71489,1.19689,0.78756,0.80318,0.8641,0.6957,0.75637,0.64259,1.29803,3.8625e-05,3.8625e-05,3.8625e-05
32,206.248,0.76874,0.69062,1.19565,0.77009,0.81407,0.85471,0.67399,0.77002,0.67578,1.312,3.49125e-05,3.49125e-05,3.49125e-05
33,211.902,0.79296,0.67111,1.21437,0.76785,0.82255,0.85066,0.67522,0.78123,0.67949,1.32794,3.12e-05,3.12e-05,3.12e-05
34,217.659,0.77045,0.63778,1.20302,0.76904,0.82471,0.85125,0.67734,0.7782,0.65071,1.32416,2.74875e-05,2.74875e-05,2.74875e-05
35,223.499,0.77118,0.63563,1.17432,0.79313,0.78994,0.84817,0.66628,0.78677,0.64632,1.33442,2.3775e-05,2.3775e-05,2.3775e-05
36,229.256,0.792,0.6452,1.20983,0.779,0.83102,0.85279,0.66273,0.78997,0.63963,1.33212,2.00625e-05,2.00625e-05,2.00625e-05
37,234.953,0.78276,0.62205,1.1905,0.76085,0.83102,0.8531,0.65967,0.79773,0.64578,1.33672,1.635e-05,1.635e-05,1.635e-05
38,240.547,0.75223,0.62132,1.18576,0.76326,0.83102,0.84921,0.65977,0.79523,0.64271,1.33076,1.26375e-05,1.26375e-05,1.26375e-05
39,246.404,0.7804,0.61285,1.21111,0.76801,0.82839,0.84798,0.66352,0.79423,0.64144,1.32974,8.925e-06,8.925e-06,8.925e-06
