filename,box_count,mouse_count,cup_count,max_confidence,prelabel_status,human_review_required
camera_v13_001_t001650.jpg,6,5,1,0.7128,model_boxes_require_review,yes
camera_v13_002_t003850.jpg,4,3,1,0.5901,model_boxes_require_review,yes
camera_v13_003_t004850.jpg,4,3,1,0.5222,model_boxes_require_review,yes
camera_v13_004_t008050.jpg,4,3,1,0.4829,model_boxes_require_review,yes
camera_v13_005_t009550.jpg,4,3,1,0.8131,model_boxes_require_review,yes
camera_v13_006_t011850.jpg,5,4,1,0.6837,model_boxes_require_review,yes
camera_v13_007_t012350.jpg,5,4,1,0.7188,model_boxes_require_review,yes
camera_v13_008_t015350.jpg,5,4,1,0.9442,model_boxes_require_review,yes
camera_v13_009_t015850.jpg,5,4,1,0.9115,model_boxes_require_review,yes
camera_v13_010_t018450.jpg,4,4,0,0.3269,model_boxes_require_review,yes
camera_v13_011_t020550.jpg,3,2,1,0.9246,model_boxes_require_review,yes
camera_v13_012_t023250.jpg,4,4,0,0.7624,model_boxes_require_review,yes
camera_v13_013_t025250.jpg,6,5,1,0.4520,model_boxes_require_review,yes
camera_v13_014_t027150.jpg,4,4,0,0.6000,model_boxes_require_review,yes
camera_v13_015_t027950.jpg,7,6,1,0.6867,model_boxes_require_review,yes
camera_v13_016_t029550.jpg,7,6,1,0.4961,model_boxes_require_review,yes
camera_v13_017_t031750.jpg,4,4,0,0.7579,model_boxes_require_review,yes
camera_v13_018_t034750.jpg,3,3,0,0.7041,model_boxes_require_review,yes
camera_v13_019_t036750.jpg,1,1,0,0.1388,model_boxes_require_review,yes
camera_v13_020_t037050.jpg,3,3,0,0.4946,model_boxes_require_review,yes
camera_v13_021_t040150.jpg,3,3,0,0.3121,model_boxes_require_review,yes
camera_v13_022_t040750.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_023_t043850.jpg,1,1,0,0.1228,model_boxes_require_review,yes
camera_v13_024_t046050.jpg,1,1,0,0.1022,model_boxes_require_review,yes
camera_v13_025_t046550.jpg,2,2,0,0.1134,model_boxes_require_review,yes
camera_v13_026_t048550.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_027_t050150.jpg,1,1,0,0.1086,model_boxes_require_review,yes
camera_v13_028_t053050.jpg,2,2,0,0.1494,model_boxes_require_review,yes
camera_v13_029_t054150.jpg,1,1,0,0.1679,model_boxes_require_review,yes
camera_v13_030_t057250.jpg,2,2,0,0.1220,model_boxes_require_review,yes
camera_v13_031_t057750.jpg,1,1,0,0.2556,model_boxes_require_review,yes
camera_v13_032_t059950.jpg,1,1,0,0.1106,model_boxes_require_review,yes
camera_v13_033_t062350.jpg,1,0,1,0.4423,model_boxes_require_review,yes
camera_v13_034_t065050.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_035_t066350.jpg,2,2,0,0.2607,model_boxes_require_review,yes
camera_v13_036_t069050.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_037_t070150.jpg,2,2,0,0.2180,model_boxes_require_review,yes
camera_v13_038_t071350.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_039_t073350.jpg,1,0,1,0.4551,model_boxes_require_review,yes
camera_v13_040_t075650.jpg,2,2,0,0.4023,model_boxes_require_review,yes
camera_v13_041_t076850.jpg,1,0,1,0.6780,model_boxes_require_review,yes
camera_v13_042_t080350.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_043_t082350.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_044_t083650.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_045_t086150.jpg,1,0,1,0.1288,model_boxes_require_review,yes
camera_v13_046_t087150.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_047_t088250.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_048_t090250.jpg,2,0,2,0.6082,model_boxes_require_review,yes
camera_v13_049_t093850.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_050_t094450.jpg,1,0,1,0.1483,model_boxes_require_review,yes
camera_v13_051_t097350.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_052_t099550.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_053_t100050.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_054_t101550.jpg,3,0,3,0.6269,model_boxes_require_review,yes
camera_v13_055_t104850.jpg,2,0,2,0.6025,model_boxes_require_review,yes
camera_v13_056_t107050.jpg,1,0,1,0.1475,model_boxes_require_review,yes
camera_v13_057_t108550.jpg,1,0,1,0.1552,model_boxes_require_review,yes
camera_v13_058_t109550.jpg,2,0,2,0.1715,model_boxes_require_review,yes
camera_v13_059_t111750.jpg,2,1,1,0.5636,model_boxes_require_review,yes
camera_v13_060_t113450.jpg,1,0,1,0.1270,model_boxes_require_review,yes
camera_v13_061_t116650.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_062_t118350.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_063_t120050.jpg,1,0,1,0.2267,model_boxes_require_review,yes
camera_v13_064_t121050.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_065_t124050.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_066_t125950.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_067_t128050.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_068_t128250.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_069_t130450.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_070_t132250.jpg,1,0,1,0.7839,model_boxes_require_review,yes
camera_v13_071_t135350.jpg,2,1,1,0.3473,model_boxes_require_review,yes
camera_v13_072_t137450.jpg,2,0,2,0.6674,model_boxes_require_review,yes
camera_v13_073_t137950.jpg,3,1,2,0.7091,model_boxes_require_review,yes
camera_v13_074_t139650.jpg,1,0,1,0.5227,model_boxes_require_review,yes
camera_v13_075_t143150.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_076_t145150.jpg,1,0,1,0.1258,model_boxes_require_review,yes
camera_v13_077_t145550.jpg,1,0,1,0.2375,model_boxes_require_review,yes
camera_v13_078_t147150.jpg,1,0,1,0.1466,model_boxes_require_review,yes
camera_v13_079_t150350.jpg,0,0,0,0.0000,empty_requires_manual_boxes,yes
camera_v13_080_t152650.jpg,1,1,0,0.1606,model_boxes_require_review,yes
