filename,source_video,timestamp_seconds,sharpness,brightness,sha256,annotation_status,label_policy
camera_v13_001_t001650.jpg,cup_horizontal_multienv_20260831,1.650,373.83,127.30,b0e387cdf5f1691fc88e817891abe8d3ce01e3d8ca357ff907a617426deccb39,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_002_t003850.jpg,cup_horizontal_multienv_20260831,3.850,391.98,129.30,16059f253052a00edb7bb8c48fd43041f7c7fbc9940d9aef1c0089f9bbd1b3b2,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_003_t004850.jpg,cup_horizontal_multienv_20260831,4.850,205.68,140.44,6e824e20f293554e4b89367bc0ecbbc70c6fe86cdc786e216e75b61446298568,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_004_t008050.jpg,cup_horizontal_multienv_20260831,8.050,494.00,141.40,abe6aab0a2dcd45a1885fd9804a534edba2820683839476a3733537051800bbc,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_005_t009550.jpg,cup_horizontal_multienv_20260831,9.550,462.68,148.08,355672e780b12d558327a2e8e368c9523813b35790c2f341ff53e76cc5aaf015,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_006_t011850.jpg,cup_horizontal_multienv_20260831,11.850,503.74,136.68,a5b6d4c8ca740a24a43d8f8fe531278847899c90658e36a7c2ceef6d4803edee,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_007_t012350.jpg,cup_horizontal_multienv_20260831,12.350,486.66,129.38,cbb01aa80f0263daba2cd804ab0e39e028d0bbfa34d0a9bdbf90adc2bbd4b8b0,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_008_t015350.jpg,cup_horizontal_multienv_20260831,15.350,549.20,118.92,2670b30b4f87328cfd8140b30db06db60491b007057c3c685d0280ed0e735351,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_009_t015850.jpg,cup_horizontal_multienv_20260831,15.850,242.87,128.05,0d0c264ed68f8f1b769a128fea3fb060230bd4600b87f9f2455090c00e24947a,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_010_t018450.jpg,cup_horizontal_multienv_20260831,18.450,72.16,148.06,2a40172a4948642df5e5f991a3a44340dca6f5db28481d0c0bfa3b4dafa6e0fa,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_011_t020550.jpg,cup_horizontal_multienv_20260831,20.550,47.48,126.94,7b48a8d62b5c673d6aa42584c6897adb245772e984afe41e4e3ca9a6d84e1a84,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_012_t023250.jpg,cup_horizontal_multienv_20260831,23.250,657.81,132.57,758b1fe5591a841d27e503e7f00f1e73de5b489c9c1a0c07e13200ff91113e19,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_013_t025250.jpg,cup_horizontal_multienv_20260831,25.250,808.55,131.96,0d513c2f719bc0097b9e4199014a0dfec872136f5a52b1f506c877b0d6368906,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_014_t027150.jpg,cup_horizontal_multienv_20260831,27.150,947.66,129.95,21b4abde39319d1965aff218735de5a49823cf3152d1e7c855cd973a82331d19,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_015_t027950.jpg,cup_horizontal_multienv_20260831,27.950,621.22,141.88,e23a6e8510a26bbb9c10976601062c2fcc228599a03ff072b567ca6652d21675,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_016_t029550.jpg,cup_horizontal_multienv_20260831,29.550,722.13,137.73,f137dfd744a45e074cf7c310d4d2cac46abecd317dd4d52b21eb571dc1bbf69f,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_017_t031750.jpg,cup_horizontal_multienv_20260831,31.750,649.59,144.70,61fe9971efddd0051bb492a33b9dc37e3447e8cec786033b76bd5538ad7537a4,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_018_t034750.jpg,cup_horizontal_multienv_20260831,34.750,142.17,139.89,cdb1bc76a8a44cf1c82b6c6b13e09a902a3728f58acd955748c6982c34f4805d,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_019_t036750.jpg,cup_horizontal_multienv_20260831,36.750,196.56,156.31,3cf4b1c9a270cc013461ebdb36f40ba2598893baf4087ce261392e07be8c9aa9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_020_t037050.jpg,cup_horizontal_multienv_20260831,37.050,135.94,124.49,db994036f6fa22f0efe113e1d3a61e4e1996b1a4c24c835e264ab44fc0139aa9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_021_t040150.jpg,cup_horizontal_multienv_20260831,40.150,360.36,144.94,f5fccce21028b84a38c6cc3f38da40b620e661ecdd482cda32070a288b17d354,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_022_t040750.jpg,cup_horizontal_multienv_20260831,40.750,489.96,140.72,47692ec31f66f44c93cd965e96d348a090a4f3d00ff1c1846e294dd8a469ccb8,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v13_023_t043850.jpg,cup_horizontal_multienv_20260831,43.850,280.36,140.39,102e9f2c57272d9e6f59cbb9ad7ab998b42848af534d9860b0c75b3f2391d333,annotation_required,draw every visible mouse and cup; leave no-target frames empty
