filename,class_name,source_video,timestamp_seconds,sharpness,brightness,sha256,split,box_count
cup_v1_001_t000633.jpg,cup,cup_v1,0.633,79.91,129.36,15e77a8360f88732344d12e2ceab99c21aa896e4803319f99ab8e84852ff6b13,test,2
cup_v1_002_t002100.jpg,cup,cup_v1,2.100,85.33,129.48,027d01308856742a6a85c9db60c146d88829dcd19fe9d0af92d2d8868da64e14,train,1
cup_v1_003_t002767.jpg,cup,cup_v1,2.767,70.82,139.62,30511605057ca5be6c1c5af14c538508e06ea53351a936942852a9861fcca22d,train,1
cup_v1_004_t004233.jpg,cup,cup_v1,4.233,50.44,135.08,713b83ae8b2044f18ceb48586eaff904826791751f6fa49c133ef3e09d3fde7e,train,1
cup_v1_005_t005433.jpg,cup,cup_v1,5.433,53.27,127.99,bd5ea9637a7da435e45987d5731ae45fe37ebc82d58a0a923a883d94c1073c28,val,1
cup_v1_006_t006233.jpg,cup,cup_v1,6.233,88.26,122.92,2b4c2f09ef82c3566144732c9734e4113f663f6696978aba62df892518eada59,train,1
cup_v1_007_t006633.jpg,cup,cup_v1,6.633,73.19,116.00,e10793c3754c05ba864101e72b15f1b53c4489061e419e48d0facf438029f910,train,1
cup_v1_008_t008500.jpg,cup,cup_v1,8.500,72.47,128.93,42fbe6e0f0637050a446ea4512a0e5b304ca08401dd8187e7c6e8781eda0a7e4,train,1
cup_v1_009_t009033.jpg,cup,cup_v1,9.033,118.43,124.41,7b72657d16040901f98bdd8ea91b13fac3af7a6001641cfd230010dbc3977c80,train,1
cup_v1_010_t009833.jpg,cup,cup_v1,9.833,79.96,127.72,31dcabcbc7105477c032ab60aeb7d58e49c574978ac920cb9e583563db338861,train,1
cup_v1_011_t011167.jpg,cup,cup_v1,11.167,92.56,126.76,fb769434841b412f634c2c4301d89a9799e69b690b6f7bbc48b5fc3c8eb29f7e,train,1
cup_v1_012_t011833.jpg,cup,cup_v1,11.833,71.29,125.33,311383cedf73e24acb3096f4e219e49752b1c0163e1d9c86e7ae43cffe8cd39a,train,1
cup_v1_013_t012767.jpg,cup,cup_v1,12.767,81.29,130.56,81c56437a63f152db029630636d72bb1bf0f5bacb69ddc5b71ad847a9127506d,train,1
cup_v1_014_t014367.jpg,cup,cup_v1,14.367,119.83,125.10,c337ab037fa42431e36b9db9c1534136a3da4d6b68b83a5e769093eb3e46623a,train,1
cup_v1_015_t015300.jpg,cup,cup_v1,15.300,206.21,130.06,3045c9d4ee03e7ebf7fabc05aa9894bd3b7664768700e8cb6a65c53aa9cbb6d7,train,1
cup_v1_016_t015700.jpg,cup,cup_v1,15.700,41.13,132.89,aa245c28c04815d809dd4c51e9e42402005a97c8dd8a8b6c47169958d87b232b,train,1
cup_v1_017_t016900.jpg,cup,cup_v1,16.900,16.04,126.59,2d9fe54402ded1bce62a184bfa5cb7e5b5ddf59860b999b419f57c79b520a137,train,2
cup_v1_018_t017833.jpg,cup,cup_v1,17.833,17.30,127.55,b92ed38cc92735e6d1113d52aec32de84eb55ebb3d554af114b2a1c4e7708a75,val,2
cup_v1_019_t018500.jpg,cup,cup_v1,18.500,7.96,125.40,66a637233789bc95bcb015e16b07a5d5342c5b58baec63b51c260239dea7ddbe,val,1
cup_v1_020_t020100.jpg,cup,cup_v1,20.100,5.23,129.06,38523c0257a753e3320649f56d8cdf1248bb0b9e06f015d3f5874d3386e8653b,train,2
cup_v1_021_t021033.jpg,cup,cup_v1,21.033,4.38,120.90,d4f465606ddf6f8584c9dc298ebe0288232064affae60f9083e0507679732a64,val,2
cup_v1_022_t022367.jpg,cup,cup_v1,22.367,6.34,125.65,43903e158878ae6740b22e2234efcf459cb974be0f29d454f9d2e91bd69f0dd5,val,2
cup_v1_023_t023033.jpg,cup,cup_v1,23.033,11.09,117.73,9cad16380b1e5ad8568f4798d30af332fdbce50219174f0dbd3f5b7b58abc59f,val,1
cup_v1_024_t024233.jpg,cup,cup_v1,24.233,18.80,130.23,9853f73cf2c7a438cde3eaf0393dff750c3fe81cd3a98857aee23f0d18143b87,train,2
cup_v1_025_t025300.jpg,cup,cup_v1,25.300,39.05,133.73,f9ceea666bff681b9960728a5c1da0e6c784f2980515f3245e6b9c7c304c5ab5,train,2
cup_v1_026_t026367.jpg,cup,cup_v1,26.367,9.35,138.79,a98ae04b4546c389b2de42de8754a716f37da8efb2172dd12e670b39c9ff573f,train,2
cup_v1_027_t027033.jpg,cup,cup_v1,27.033,208.13,146.68,209f2c2052d3652ec01ace953aad585218e12ecd90a61be4f01da47edce2f60a,test,2
cup_v1_028_t027433.jpg,cup,cup_v1,27.433,70.04,145.33,f3cbedb2227498af14acd25b8573d21eb1795a1b2e8a7c7ea5f4a9a74cc0ae82,train,2
cup_v1_029_t028367.jpg,cup,cup_v1,28.367,66.42,146.84,9cc57e42afe1b053da1c8fe26c900ece2d30b377abb1a287e0949f1075a134ff,val,2
cup_v1_030_t030233.jpg,cup,cup_v1,30.233,9.55,146.81,426c705cc8404914dd89128b5d817d29522f9dd4f4f1fd3ead367b1d79a43049,train,2
cup_v1_031_t030767.jpg,cup,cup_v1,30.767,6.98,144.91,dd1a48fa338c9b54b663494fa6d035c19d66bf9c0b19e19fcdf24a4428f2c69e,train,2
cup_v1_032_t032233.jpg,cup,cup_v1,32.233,44.21,134.53,cebb5c886c78caeb59ed3cf8099f81ea3d93c0b92e22b59fc349292ba4e4563a,train,2
cup_v2_001_t000767.jpg,cup,cup_v2,0.767,32.11,136.17,024b38e45245afdda2461ea1282eeedd75d63a4fbc7c08de1bd17dc8c9a5a041,train,1
cup_v2_002_t002767.jpg,cup,cup_v2,2.767,35.72,140.21,9fe8f9f725e9caaa746d2ab4a58ffb46ed15b03c026168127d8acf13d2cec7b3,train,2
cup_v2_003_t003700.jpg,cup,cup_v2,3.700,32.27,138.49,08623688b821ba1d8fd98c71b23664248565d740d934c0168d0ce72aae37b402,train,2
cup_v2_004_t005167.jpg,cup,cup_v2,5.167,31.92,138.32,70a12370ff3ae83d717c6ec53603d5d0b94ca9997a1b78e23c22e5efba0984f8,val,2
cup_v2_005_t006633.jpg,cup,cup_v2,6.633,41.74,139.68,5d55b442cbcb577e3220356b249d692c7e6d7c3ae95a074f3f9c70fd5a8b1720,test,2
cup_v2_006_t007833.jpg,cup,cup_v2,7.833,41.16,135.58,28992e24f5bffe10791e708cb2a114f01df87837e1197a0311fdd75622a58759,train,2
cup_v2_007_t008767.jpg,cup,cup_v2,8.767,45.05,129.89,347a33cd1a7c4f4b3c998d94381beec51f8d6b1a280ffc68a7d696a125d9f677,train,2
cup_v2_008_t010367.jpg,cup,cup_v2,10.367,37.44,139.10,f06391c55c7713a637864a85c03cac6260062932cdad04f5bce0b0480eb3a9a2,train,2
cup_v2_009_t011433.jpg,cup,cup_v2,11.433,37.89,133.78,43f64a1830a3f238720b297699aebae50dc958d3703271eb777a352b9ae43056,train,2
cup_v2_010_t011833.jpg,cup,cup_v2,11.833,39.47,133.53,72bab835a4b1a85664c0425cc62ed4086680c830a8041c6c0c47772259fee18e,train,2
cup_v2_011_t013567.jpg,cup,cup_v2,13.567,36.45,141.83,23d83449f9832f159b142ce409ddeabe0841645490fffebd93a61fc3e600886a,test,2
cup_v2_012_t015033.jpg,cup,cup_v2,15.033,38.96,141.17,4a67dcf60aef5824ae9d487057ae06ba766a15fcd3b8f4182b6ba792f98dafd8,train,2
cup_v2_013_t015967.jpg,cup,cup_v2,15.967,36.77,128.74,8f3716c8c6addd528f422aadca6b9e79071412a5f1a911102833169929241b54,train,2
cup_v2_014_t017167.jpg,cup,cup_v2,17.167,31.91,127.55,ebd9b58886029eaab56eac2363e81b8c5f5c9136242607e19e31ecc82e70ec9f,val,2
cup_v2_015_t018233.jpg,cup,cup_v2,18.233,34.38,136.69,d84d399ff84a44d7d2bcbb1d5db386109a4b4c0ebc435552e09aee4762ed6c24,train,2
cup_v2_016_t020100.jpg,cup,cup_v2,20.100,31.47,141.28,574cfff73477bf52f8a14ef86546a67cd05cd21ca6ad95cf4e1af344fe690abc,train,2
cup_v2_017_t020367.jpg,cup,cup_v2,20.367,28.80,137.18,dcab3a4ed9fce35d7f4a9952ca00042ced4c69a05e68b2e48f8abe4daa81b5e8,val,2
cup_v2_018_t021700.jpg,cup,cup_v2,21.700,21.95,143.35,ea632219ec4f66bf653514b2df991c5d930377fd31de5e1da2339fd17ccf10b6,train,2
cup_v2_019_t023967.jpg,cup,cup_v2,23.967,22.73,142.60,e51ded099a1c57b0dd0c1076ecf977943e386418ca978649ee8cb815085e8917,val,1
cup_v2_020_t024233.jpg,cup,cup_v2,24.233,19.48,142.92,0f4227962cc7d16886d2d6fee1da500f62c152ff96f902b0e5f37e97ebd7b957,train,1
cup_v2_021_t025567.jpg,cup,cup_v2,25.567,18.52,135.83,ca7b2e6ea4fa1a9fb601693549dd9bd8fa12e3168aa17bbfa847d1e1025f82fa,train,1
cup_v2_022_t027700.jpg,cup,cup_v2,27.700,32.67,112.30,46c863a26019119c8644dd8634d7b836aef5257bafea730d928cd2b9f5b7615f,val,1
