"filename","source_class","detected_classes","reason"
"mouse_v1_009_t010633.jpg","mouse","","no_prelabel"
"mouse_v1_011_t013433.jpg","mouse","","no_prelabel"
"mouse_v1_012_t013833.jpg","mouse","","no_prelabel"
"mouse_v1_013_t015033.jpg","mouse","1","primary_class_missing"
"mouse_v1_014_t017167.jpg","mouse","","no_prelabel"
"mouse_v1_015_t018233.jpg","mouse","","no_prelabel"
"mouse_v1_016_t018900.jpg","mouse","","no_prelabel"
"mouse_v1_017_t020633.jpg","mouse","","no_prelabel"
"mouse_v1_020_t023967.jpg","mouse","","no_prelabel"
"mouse_v1_024_t028367.jpg","mouse","","no_prelabel"
"mouse_v1_027_t031967.jpg","mouse","","no_prelabel"
"mouse_v1_029_t034100.jpg","mouse","","no_prelabel"
"mouse_v1_032_t038367.jpg","mouse","","no_prelabel"
"mouse_v2_008_t006100.jpg","mouse","","no_prelabel"
"mouse_v2_015_t011433.jpg","mouse","","no_prelabel"
"mouse_v2_024_t017833.jpg","mouse","","no_prelabel"
"mouse_v2_025_t018233.jpg","mouse","","no_prelabel"
"mouse_v3_015_t014100.jpg","mouse","","no_prelabel"
"mouse_v3_019_t017833.jpg","mouse","","no_prelabel"
"mouse_v3_020_t017967.jpg","mouse","","no_prelabel"
"mouse_v3_021_t019167.jpg","mouse","","no_prelabel"
"mouse_v3_026_t024233.jpg","mouse","","no_prelabel"
"mouse_v3_027_t024633.jpg","mouse","","no_prelabel"
"mouse_v3_028_t025833.jpg","mouse","","no_prelabel"
"mouse_v3_029_t026367.jpg","mouse","","no_prelabel"
"mouse_v3_032_t029033.jpg","mouse","","no_prelabel"
"cup_v1_027_t027033.jpg","cup","0","primary_class_missing"
"cup_v1_028_t027433.jpg","cup","","no_prelabel"
"cup_v1_029_t028367.jpg","cup","","no_prelabel"
"cup_v1_031_t030767.jpg","cup","","no_prelabel"
"cup_v1_032_t032233.jpg","cup","","no_prelabel"
"cup_v2_019_t023967.jpg","cup","","no_prelabel"
"cup_v2_022_t027700.jpg","cup","","no_prelabel"
"cup_v2_023_t027833.jpg","cup","","no_prelabel"
"cup_v2_030_t037567.jpg","cup","0","primary_class_missing"
"cup_v2_031_t037967.jpg","cup","0","primary_class_missing"
"cup_v3_025_t030633.jpg","cup","","no_prelabel"
"cup_v3_026_t031967.jpg","cup","0","primary_class_missing"
"cup_v3_028_t035433.jpg","cup","","no_prelabel"
"cup_v3_029_t036367.jpg","cup","0,0","primary_class_missing"
