filename,source_video,timestamp_seconds,sharpness,brightness,sha256,annotation_status,label_policy
camera_v9_001_t002050.jpg,external_camera_20260831,2.050,4.09,118.41,459402736ecf4e08a7a888f58000d80c93fe654f2249d62d372eb63bf47da524,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_002_t003250.jpg,external_camera_20260831,3.250,554.94,123.71,9d49463dee7fc7dc434515ff5b6111eb61dbcfd89aa497ce3f467f922918c8a3,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_003_t003950.jpg,external_camera_20260831,3.950,847.18,131.00,eb9c71271ab155dfc6a2a9af396047b9382ef66bd70cfeb2e47bdad457aed9b6,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_004_t006050.jpg,external_camera_20260831,6.050,699.22,110.58,dc8ddbe8d1d0ea6055118924fb90c34f2abba9197d0adedfc93318ab84d1c2e3,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_005_t008550.jpg,external_camera_20260831,8.550,790.88,137.14,9470d5179aa9c648feb3e19c9959772028d45859d3044752b7f83265386f1874,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_006_t009250.jpg,external_camera_20260831,9.250,708.36,137.40,f2056c29846fbcb3debf5c91a20551c675ee45e6039dc4d34c2652c67afc7512,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_007_t011550.jpg,external_camera_20260831,11.550,432.79,132.30,4a6abac50cd277af58d6c129840a1b3e4700064aa89879ea522a3535723f822c,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_008_t012750.jpg,external_camera_20260831,12.750,688.22,116.60,ba2f2349d953425dc4a5149fc91b6c77282a15a8db9019722a5dbebefd40cfa8,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_009_t013850.jpg,external_camera_20260831,13.850,903.92,121.94,2394dcc00e953677314c0c45c294f18445a2adcf23426d6ae4d5da1359615d67,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_010_t016450.jpg,external_camera_20260831,16.450,792.46,122.10,df9212daa7c797128a7d095e5232416529d4d5d89f6c3ff4572d5601aab9805a,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v9_011_t016550.jpg,external_camera_20260831,16.550,851.38,124.83,c1a297bd9bb8ddbac9c1f0e122007e230ac80c48255d4a31988ceb59e4c2ac82,annotation_required,draw every visible mouse and cup; leave no-target frames empty
