filename,source_video,timestamp_seconds,sharpness,brightness,sha256,annotation_status,label_policy
camera_v10_001_t002450.jpg,external_camera_20260831_v10,2.450,106.30,128.12,35a6f7a6d6e9177c28cdded4a630323876350d7bed82e508f7f534d06f2d29fa,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_002_t004250.jpg,external_camera_20260831_v10,4.250,940.11,135.04,af77f5f6a507886b6cae1c5f5eae0e92ab02c40e3261c3913fe6f4f247d2b505,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_003_t007350.jpg,external_camera_20260831_v10,7.350,834.34,139.93,911ea736e1ae87f081ae5e0d8b33f5298367fbb2d3177cf2384421f0746167b3,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_004_t010050.jpg,external_camera_20260831_v10,10.050,715.28,140.26,7af0f1d6ab168948fce0e8e172a06171a76be12001ce7aa173830400fa117bb7,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_005_t011750.jpg,external_camera_20260831_v10,11.750,1131.56,133.98,2a455f12b4bc5f095ef0c7edca865cd06651a6d3c733315ecfe6e3bbd0b70f1b,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_006_t014750.jpg,external_camera_20260831_v10,14.750,1110.38,135.42,1520fae15fcfb677607c86b8b420302afd672686c0d97bf13f05867d06114e0d,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_007_t015850.jpg,external_camera_20260831_v10,15.850,1353.58,132.82,2545d78d37a781fef9a95ec83e47304aaf064320f37e3c1b79d69712aefaeba9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_008_t018550.jpg,external_camera_20260831_v10,18.550,1796.08,139.78,65dc6f681abea191a8eec6451518f2286c8af86f7e3bd336f044c4d28d71fd75,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_009_t022050.jpg,external_camera_20260831_v10,22.050,1052.05,113.87,480609faebe029b0b6ba3f0c9029772bbe28263c288891c5c3c71e258dcae6c3,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_010_t024950.jpg,external_camera_20260831_v10,24.950,939.54,115.24,119ed280bd78e91272f236af41bd47bee2b091321dc26ad9fab6c5f0ae6d73c6,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_011_t025350.jpg,external_camera_20260831_v10,25.350,693.41,129.28,8c59017b5d6488f136a7a78c54dff1cfb45e3e7bda649701d544406fd228745a,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_012_t029750.jpg,external_camera_20260831_v10,29.750,482.36,129.77,e826016584efc2c823e4e53d18b85c9ab23cb0b4a9db413e644d914d893517a6,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_013_t030050.jpg,external_camera_20260831_v10,30.050,265.07,153.36,b76af87cd43c8f0b596a4ea733b48f5c47cc726cb4889ed6e12919f8a2b7b015,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_014_t034650.jpg,external_camera_20260831_v10,34.650,793.54,124.32,3cbc8b238762e82f57e2b6dc0fa843377c99ecc9c10e5f61ff59beab3239a716,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_015_t035450.jpg,external_camera_20260831_v10,35.450,1261.60,128.68,16f2cf37a9e752e32a9425d381aecb6a33ce0decd90348c8b9def764a0ccd162,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_016_t039650.jpg,external_camera_20260831_v10,39.650,894.86,131.33,61f365ef0e32f8674ddd40ac4a96ed39271693295fa9a0aa501e9320e0777464,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_017_t042050.jpg,external_camera_20260831_v10,42.050,1156.29,131.96,2a01175da0ac74c26b579641245ecb88028475eddd4e600a3b5580de20e04da9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
camera_v10_018_t044550.jpg,external_camera_20260831_v10,44.550,1107.82,121.87,380ce16678388c317c70c58966aff36de92ae2542b0984335aaffcea2d2bffc9,annotation_required,draw every visible mouse and cup; leave no-target frames empty
