filename,dataset_split,data_origin,expected_class,annotation_origin,box_count,audit_status,source_video,source_frame,timestamp_seconds,sha256
aug_0001_cup_v1_002_t002100.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,6cba402617c764e19bc513d04c572f1ee7ab006a0e134c74693ccccb7459533f
aug_0002_cup_v1_003_t002767.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,0aca5da1aa809986a9b3ce10e62164dfce4cd28d7b4ca6ae2fdbf44c1210c3c7
aug_0003_cup_v1_004_t004233.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,0e1d4dc14abaf65755ab32b9356c21c464db083044d96efab9c4e4c2ff9bcc50
aug_0004_cup_v1_006_t006233.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,8a94edbae952b628bb1577ddeab0f13d942b9704feca5481992034f5d9f97b36
aug_0005_cup_v1_007_t006633.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,f5118436fe2e67f33c612cea968b2b8c808f606a85799a12b705a9981138bddf
aug_0006_cup_v1_008_t008500.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,41c87c17caee6f51d2a3e6557a8c11c0cf40db5d87e564cf94f6537fd30a7ee7
aug_0007_cup_v1_009_t009033.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,0b75c1df7be8913499d378c2214b70ef867f6cada08e8e29abbf3387d12ad900
aug_0008_cup_v1_010_t009833.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,6750299c02566b933b68e02d98e13145b2ee3fb908968c68d25eeb464a2ccdee
aug_0009_cup_v1_011_t011167.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,e9c456816728fba9575b0fa56f8fc158bf545600a816499c39c51fb5e03e33e2
aug_0010_cup_v1_012_t011833.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,87e09139dd39f6b2a8ec4497bf5283248e7797199b33220cc5b9dee97b7b0cc7
aug_0011_cup_v1_013_t012767.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,a512088e0b113514a61438e2030bbd72525222b00c2750e87000aca5d75c054e
aug_0012_cup_v1_014_t014367.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,83acafa5cf8badb732f17a2fd4d7390fd93ced3ec23c694e65d86dac9f9ef5bb
aug_0013_cup_v1_015_t015300.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,4dca0a1b89316feeb8c62551f83797cc8f77c58a38004aee1ed6af3f6d974f19
aug_0014_cup_v1_016_t015700.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,1,human_checked,,,,070f7bfa9ad0f29ea41a99c3476c1293926bfe0109ca931cac74f823bb68c8b7
aug_0015_cup_v1_017_t016900.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,2,human_checked,,,,4f70c4ae77859d6a0b6945ff3b722a065ad9c494ba4f18922324dc075c2ea6ce
aug_0016_cup_v1_020_t020100.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,2,human_checked,,,,5a9b02914a8a6c96029898228af5b236bf3a7df11b3feb7da5848c4dc7f022e6
aug_0017_cup_v1_024_t024233.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,2,human_checked,,,,c3b0931331d7ffc8ca71997869d0074df34179b69387740954c2ea3f31d4bdfe
aug_0018_cup_v1_025_t025300.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,2,human_checked,,,,6d1a6bd780602839b79b3757a3ec89843b09f7e12fe6a305e48bd17ebd1f83d0
aug_0019_cup_v1_026_t026367.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,2,human_checked,,,,ea1d9f888ccb32ae57e96d85d7236455e8750f5b76803593dd5609f6603c0b38
aug_0020_cup_v1_028_t027433.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,2,human_checked,,,,1918ee0f34f7deaf0c79727815a11267e97812b54f94a822b13e8c56832208f7
aug_0021_cup_v1_030_t030233.jpg,train,synthetic_augmentation,derived_from_label,xanylabeling_human_review,2,human_checked,,,,3b7538e1a597655153d0a08d4aa80b7d051c6ad71bf1e8fbaa7f9df96f8ff0fd
